,day_timestamp,Close,day_average_sentiment
525,2018-02-02,2762.1298829999996,0.7782999999999999
526,2018-02-05,2648.939941,0.0
527,2018-02-06,2695.139893,0.10963333333333336
528,2018-02-07,2681.659912,0.3181999999999999
529,2018-02-08,2581.0,0.765
530,2018-02-09,2619.550049,
531,2018-02-12,2656.0,
532,2018-02-13,2662.939941,0.0
533,2018-02-14,2698.6298829999996,
534,2018-02-15,2731.199951,
535,2018-02-16,2732.219971,
536,2018-02-20,2716.26001,
537,2018-02-21,2701.330078,
538,2018-02-22,2703.959961,
539,2018-02-23,2747.300049,
540,2018-02-26,2779.600098,
541,2018-02-27,2744.280029,
542,2018-02-28,2713.830078,
543,2018-03-01,2677.669922,
544,2018-03-02,2691.25,
545,2018-03-05,2720.939941,-0.1531
546,2018-03-06,2728.1201170000004,
547,2018-03-07,2726.800049,
548,2018-03-08,2738.969971,
549,2018-03-09,2786.570068,0.3485
550,2018-03-12,2783.02002,
551,2018-03-13,2765.310059,0.802
552,2018-03-14,2749.47998,
553,2018-03-15,2747.330078,0.7964
554,2018-03-16,2752.01001,
555,2018-03-19,2712.919922,
556,2018-03-20,2716.939941,0.765
557,2018-03-21,2711.929932,0.6255364016736401
558,2018-03-22,2643.689941,0.0
559,2018-03-23,2588.26001,0.7506000000000004
560,2018-03-26,2658.550049,0.0
561,2018-03-27,2612.6201170000004,0.6368999999999999
562,2018-03-28,2605.0,0.31845
563,2018-03-29,2640.8701170000004,0.2459666666666667
564,2018-04-02,2581.8798829999996,0.32985000000000003
565,2018-04-03,2614.449951,0.0
566,2018-04-04,2644.689941,
567,2018-04-05,2662.840088,0.6239999999999999
568,2018-04-06,2604.469971,
569,2018-04-09,2613.159912,
570,2018-04-10,2656.8701170000004,
571,2018-04-11,2642.189941,
572,2018-04-12,2663.98999,
573,2018-04-13,2656.300049,
574,2018-04-16,2677.840088,
575,2018-04-17,2706.389893,
576,2018-04-18,2708.639893,
577,2018-04-19,2693.1298829999996,
578,2018-04-20,2670.139893,
579,2018-04-23,2670.290039,
580,2018-04-24,2634.560059,0.0
581,2018-04-25,2639.399902,0.0
582,2018-04-26,2666.939941,0.3209
583,2018-04-27,2669.909912,
584,2018-04-30,2648.050049,
585,2018-05-01,2654.800049,
586,2018-05-02,2635.669922,0.2484
587,2018-05-03,2629.72998,0.5994
588,2018-05-04,2663.419922,
589,2018-05-07,2672.6298829999996,0.3341734736842105
590,2018-05-08,2671.919922,
591,2018-05-09,2697.790039,0.0
592,2018-05-10,2723.070068,0.8248499999999998
593,2018-05-11,2727.719971,
594,2018-05-14,2730.1298829999996,0.5061500000000001
595,2018-05-15,2711.449951,-0.25
596,2018-05-16,2722.459961,0.3697
597,2018-05-17,2720.1298829999996,0.4404
598,2018-05-18,2712.969971,0.4404
599,2018-05-21,2733.01001,0.3818
600,2018-05-22,2724.439941,0.2846
601,2018-05-23,2733.290039,0.4215
602,2018-05-24,2727.76001,0.8519000000000001
603,2018-05-25,2721.330078,
604,2018-05-29,2689.860107,
605,2018-05-30,2724.01001,
606,2018-05-31,2705.27002,
607,2018-06-01,2734.6201170000004,
608,2018-06-04,2746.8701170000004,
609,2018-06-05,2748.800049,
610,2018-06-06,2772.350098,
611,2018-06-07,2770.3701170000004,
612,2018-06-08,2779.030029,
613,2018-06-11,2782.0,
614,2018-06-12,2786.850098,
615,2018-06-13,2775.6298829999996,
616,2018-06-14,2782.48999,
617,2018-06-15,2779.659912,
618,2018-06-18,2773.75,
619,2018-06-19,2762.590088,
620,2018-06-20,2767.320068,0.07653333333333334
621,2018-06-21,2749.76001,-0.11613333333333332
622,2018-06-22,2754.8798829999996,0.5719
623,2018-06-25,2717.070068,-0.3818
624,2018-06-26,2723.060059,-0.7506
625,2018-06-27,2699.6298829999996,
626,2018-06-28,2716.310059,
627,2018-06-29,2718.3701170000004,0.0
628,2018-07-02,2726.709961,0.8106378151260507
629,2018-07-03,2713.219971,0.4404000000000001
630,2018-07-05,2736.610107,0.8176000000000001
631,2018-07-06,2759.820068,0.5568000000000001
632,2018-07-09,2784.169922,
633,2018-07-10,2793.840088,
634,2018-07-11,2774.02002,
635,2018-07-12,2798.290039,0.17540000000000006
636,2018-07-13,2801.310059,
637,2018-07-16,2798.429932,0.0
638,2018-07-17,2809.550049,0.07719999999999999
639,2018-07-18,2815.6201170000004,0.3383
640,2018-07-19,2804.48999,
641,2018-07-20,2801.830078,
642,2018-07-23,2806.97998,
643,2018-07-24,2820.399902,
644,2018-07-25,2846.070068,
645,2018-07-26,2837.439941,
646,2018-07-27,2818.820068,
647,2018-07-30,2802.600098,
648,2018-07-31,2816.290039,
649,2018-08-01,2813.360107,
650,2018-08-02,2827.219971,
651,2018-08-03,2840.350098,
652,2018-08-06,2850.399902,
653,2018-08-07,2858.449951,
654,2018-08-08,2857.699951,
655,2018-08-09,2853.580078,
656,2018-08-10,2833.280029,
657,2018-08-13,2821.929932,
658,2018-08-14,2839.959961,
659,2018-08-15,2818.3701170000004,
660,2018-08-16,2840.689941,
661,2018-08-17,2850.1298829999996,
662,2018-08-20,2857.050049,
663,2018-08-21,2862.959961,
664,2018-08-22,2861.820068,
665,2018-08-23,2856.97998,
666,2018-08-24,2874.689941,
667,2018-08-27,2896.73999,0.57985
668,2018-08-28,2897.52002,0.57985
669,2018-08-29,2914.040039,0.0129
670,2018-08-30,2901.1298829999996,0.0386
671,2018-08-31,2901.52002,
672,2018-09-04,2896.719971,0.7430000000000001
673,2018-09-05,2888.600098,
674,2018-09-06,2878.050049,
675,2018-09-07,2871.679932,0.21351666666666666
